Chrom	Gene Name	Strand	Positions
chr1	UBE2Q1	-	[154548577, 154550095, 154553150, 154554618, 154554746]
chr1	AGL	+	[99921919, 99923889, 99924019]
chr1	RNF11	+	[51250750, 51272905, 51273022, 51273203, 51273357]
chr1	CELA2A	+	[15472090]
chr1	LOC102724601	-	[174121638]
chr1	CELA2B	+	[15491399]
chr1	LAPTM5	-	[30732469, 30733431]
chr1	AGT	-	[230702523]
chr1	SLC50A1	+	[155138778]
chr1	HSPA6	+	[161526795, 161526896]
chr1	INKA2	-	[111722064, 111722803, 111723837, 111726506, 111727238, 111727634, 111746709, 111747776, 111753775]
chr1	PALMD	+	[99646339, 99669822, 99694322, 99694540]
chr1	NR0B2	-	[26911489]
chr1	F11R	-	[160995211, 160996194, 160996371, 160997774, 161007492, 161009185]
chr1	PIK3CD	+	[9652610, 9656719, 9664930, 9665138, 9674693, 9674841, 9728779, 9728918]
chr1	ZSWIM5	-	[45100985, 45102083, 45117314, 45119913, 45196077]
chr1	RNF115	-	[145746340, 145746510, 145758390, 145764420, 145764703, 145773914, 145776260, 145782001, 145794426, 145804265, 145806146]
chr1	TMEM59	-	[54026681, 54026790, 54031663, 54031896, 54032284, 54036640, 54045486, 54050201]
chr1	TMEM56	+	[95192212, 95193348, 95195309, 95197521]
chr1	TMEM54	-	[32894595, 32898440]
chr1	TMEM52	-	[1917591]
chr1	TMEM53	-	[44653247]
chr1	TMEM51	+	[15220477]
chr1	DHX9	+	[182839826, 182841565, 182843321, 182849772, 182850090, 182850460, 182851031, 182851945, 182855203, 182856581, 182856964, 182872431, 182880959, 182887442, 182887750, 182887892]
chr1	MUC1	-	[155185824]
chr1	CRB1	+	[197442499, 197444818, 197478454]
chr1	POLR3GL	+	[145977823, 145978770]
chr1	CEP85	+	[26278392, 26278707]
chr1	ZNF672	+	[248849516]
chr1	ZNF670	-	[247036784, 247041322]
chr1	TRAPPC3	-	[36136572, 36136711, 36137119, 36137281, 36137800]
chr1	FAM183A	+	[43156395]
chr1	ERI3	-	[44221070, 44221728, 44227078, 44227536, 44230166, 44233419, 44274086, 44276557, 44327651, 44328380, 44331356, 44340108, 44351118]
chr1	KTI12	-	[52032352]
chr1	ZNF678	+	[227656429, 227661242, 227662460]
chr1	NSL1	-	[212726153, 212731295, 212736966, 212737169, 212737619, 212737742, 212738099, 212738226, 212781942, 212789286]
chr1	RIT1	-	[155897808, 155898744, 155898968, 155899081, 155900098, 155900305]
chr1	MGST3	+	[165631525, 165631883, 165632114, 165652026, 165654318, 165655480, 165655619]
chr1	DENND4B	-	[153929501, 153929703, 153931661, 153935440, 153936932, 153937496, 153946652]
chr1	SEMA4A	+	[156163349, 156177743]
chr1	APOA2	-	[161222292]
chr1	LOC101928372	+	[160945025, 160949921]
chr1	CSDE1	-	[114716913, 114717015, 114717312, 114717440, 114717686, 114718059, 114738735, 114750197]
chr1	LOC100132111	+	[151843398, 151846130, 151846610]
chr1	LOC101928177	-	[156614742]
chr1	RNU5F-1	-	[44721847]
chr1	TIPRL	+	[168184079, 168192394, 168197238, 168198942, 168200133, 168200468, 168201845, 168202010]
chr1	RNA5S11	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	RNA5S10	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	RNA5S13	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
chr1	RNA5S12	-	[228612404, 228614641, 228616894, 228619137, 228621356, 228623559, 228625798, 228628035, 228630301, 228632521, 228634782, 228636986, 228639250, 228644753, 228644899, 228645950]
